qual	bucket	rationale
two_mul_ω	YES-add-as-is	- lake build:               not re-run (local build stale per task brief); reasoned from source — file is sorry-free, decl elaborates in the
universalNormEDS	BORDERLINE-needs-human	Project: NagellLutz (Nagell–Lutz theorem; elliptic curves; division polynomials; EDS).
universalNormEDS_mem_nonZeroDivisors	NO-composable-from-mathlib	_Step-9 mathlibable assessment (single declaration), NagellLutz project._
universalNormEDS_ne_zero	NO-composable-from-mathlib	- lake build:               (not re-run — local build stale per task note; reasoning from source)
x_coord_nsmul_eq_general	YES-but-generalise-first	formula x([n]P)·ΨSqₙ(x) = Φₙ(x) is a genuine mathlib gap (mathlib has the
x_integral_of_nsmul_x_integral_general	BORDERLINE-needs-human	- lake build:               (not re-run; local build stale per task brief — reasoned from source)
x_integral_of_odd_prime_torsion_general	BORDERLINE-needs-human	One-line: a genuine, non-trivially-composable proof step of the Nagell–Lutz theorem
y_integral_of_x_integral_on_general_curve	NO-composable-from-mathlib	- lake build:               stale (per prompt; reasoned from source). Toolchain lean 4.31.0-rc2 resolves; decl elaborates by inspection.
zero'	YES-add-as-is	IsEllSequence (the zeroth term of an elliptic sequence over a reduced ring vanishes) that mathlib
zero	YES-add-as-is	Step-9 (overview) full mathlibable assessment. One declaration:
two_nsmul_eq_zero_of_ψ₂_eq_zero	NO-composable-from-mathlib	Mathlib's add_self_of_Y_eq/add_of_Y_eq is the 2-torsion direction; ψ₂=polynomialY so the lemma is a <=3-call composition. K=1 call site; General/PID twins. Inline/demote, no PR. Qual: LutzNagell.PID.two_nsmul_eq_zero_of_ψ₂_eq_zero (=General twin).
WeierstrassCurve.Universal.Affine.nonsingular_smulX_smulY	NO-composable-from-mathlib	One-line `.1` projection of parent zsmul_point_eq_smulX_smulY; zero call sites; Universal curve not in mathlib.
